file	entry	name	rarity	tier	source	flags	decision	proposed_value	proposed_source	notes
skill	1	Water Stream Crushing Rock	5.9	Epic	One Punch Man					
skill	2	Intermediate Cooking	2.3	Uncommon	Generic					
skill	3	Iaijutsu	3.4	Rare	Generic					
skill	4	Intermediate Acting	2.4	Uncommon	Generic					
skill	5	Intermediate Shooting	2.2	Uncommon	Generic					
skill	6	Intermediate Hand-to-Hand Combat	2.5	Uncommon	Generic					
skill	7	Intermediate Programming	2.1	Uncommon	Generic	REF				
skill	8	Intermediate Mechanics	2.2	Uncommon	Generic					
skill	9	Intermediate Biology	2.6	Uncommon	Generic					
skill	10	Intermediate Physics	2.7	Uncommon	Generic					
skill	11	Intermediate Chemistry	2.5	Uncommon	Generic					
skill	12	Intermediate Math	2.8	Uncommon	Generic					
skill	13	Intermediate Blacksmithing	2.0	Uncommon	Generic					
skill	14	Intermediate Teaching	2.0	Uncommon	Generic					
skill	15	Intermediate Blade Weapon Mastery	2.3	Uncommon	Generic					
skill	16	Intermediate Blunt Weapon Mastery	2.1	Uncommon	Generic					
skill	17	Intermediate Polearm Mastery	2.6	Uncommon	Generic					
skill	18	Intermediate Item Construction	3.3	Rare	Generic					
skill	19	Polar Channel Flow - Cellular Overdrive	3.5	Rare	Generic	REF				
skill	20	All Life Eradication Fist	8.4	Divine	One Punch Man	REF				
skill	21	Spear of Untraceable Trajectory	6.7	Legendary	Everyone Else is a Returnee	REF				
skill	22	Nanaya Assassination Arts	4.7	Elite	Tsukihime					
skill	23	Whirlwind Iron Cutting Fist	5.6	Epic	One Punch Man					
skill	24	Backflipping	0.2	Trash	Generic					
skill	25	Water Breathing	3.1	Rare	Demon Slayer					
skill	26	Fire Breathing	3.3	Rare	Demon Slayer					
skill	27	Wind Breathing	3.8	Rare	Demon Slayer					
skill	28	Thunder Breathing	4.0	Elite	Demon Slayer					
skill	29	Sun Breathing	4.4	Elite	Demon Slayer					
skill	30	Intermediate Kama Sutra	2.2	Uncommon	Generic					
skill	31	Intermediate Taming	2.1	Uncommon	Generic					
skill	32	Intermediate Pressure Points	3.8	Rare	Generic	REF				
skill	33	Intermediate Massage	2.5	Uncommon	Generic					
skill	34	Divine Gaming	7.0	Mythical	Generic					
skill	35	Intermediate Driving	1.8	Common	Generic					
skill	36	Intermediate Leadership	2.7	Uncommon	Generic					
skill	37	Intermediate Charisma	3.8	Rare	Generic					
skill	38	Throwing	2.2	Uncommon	Generic					
skill	39	Intermediate Medicine	2.9	Uncommon	Generic					
skill	40	Kung Fu	2.5	Uncommon	Generic					
skill	41	Bajiquan	3.5	Rare	Generic					
skill	42	Taekwondo	3.7	Rare	Generic					
skill	43	Renewal Taekwondo	6.6	Legendary	God of High School	REF				
skill	44	Karate	2.4	Uncommon	Generic					
skill	45	Suppression	4.0	Elite	Generic	REF				
skill	46	Krav Maga	2.6	Uncommon	Generic					
skill	47	Muay Thai	2.9	Uncommon	Generic					
skill	48	Intimidation	3.3	Rare	Generic					
skill	49	Novice Cooking	1.3	Common	Generic					
skill	50	Wilderness Survival	2.4	Uncommon	Generic					
skill	51	Novice Acting	1.4	Common	Generic					
skill	52	Novice Shooting	1.6	Common	Generic					
skill	53	Novice Hand-to-Hand Combat	1.5	Common	Generic					
skill	54	Novice Programming	1.4	Common	Generic					
skill	55	Novice Mechanics	1.1	Common	Generic					
skill	56	Novice Biology	1.1	Common	Generic					
skill	57	Novice Physics	1.6	Common	Generic	REF				
skill	58	Novice Chemistry	1.4	Common	Generic					
skill	59	Novice Math	1.5	Common	Generic					
skill	60	Novice Blacksmithing	1.7	Common	Generic					
skill	61	Novice Teaching	1.8	Common	Generic					
skill	62	Novice Blade Weapon Mastery	1.9	Common	Generic					
skill	63	Novice Blunt Weapon Mastery	1.5	Common	Generic					
skill	64	Novice Polearm Mastery	1.8	Common	Generic					
skill	65	Novice Item Construction	2.1	Uncommon	Generic	REF				
skill	66	Novice Kama Sutra	1.5	Common	Generic					
